,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Hotel Name
113,113,Belmonte,-15.8631,-38.8828,72.1,96,100,5.46,BR,2021-11-28 05:39:33,overcast clouds,Pousada Monte Carmelo O Pão
115,115,New Norfolk,-42.7826,147.0587,63.9,49,4,6.4,AU,2021-11-28 05:39:33,clear sky,The Shingles Riverside Cottages
117,117,Bengkulu,-3.8004,102.2655,83.23,68,100,5.79,ID,2021-11-28 05:39:34,overcast clouds,Grage Hotel Bengkulu
119,119,Soure,-0.7167,-48.5233,79.97,81,12,8.14,BR,2021-11-28 05:39:35,few clouds,Casarão da Amazônia
120,120,Aswan,24.0934,32.907,67.3,27,0,6.91,EG,2021-11-28 05:39:35,clear sky,Nuba Nile
121,121,Makokou,0.5738,12.8642,69.57,97,96,1.41,GA,2021-11-28 05:39:36,overcast clouds,Motel des voyageurs
122,122,Zaltan,32.947,11.8665,61.16,57,100,4.41,LY,2021-11-28 05:39:36,overcast clouds,زلطن الشرقية
125,125,Knysna,-34.0363,23.0471,70.18,50,34,7.9,ZA,2021-11-28 05:39:37,scattered clouds,Protea Hotel by Marriott Knysna Quays
127,127,Airai,-8.9266,125.4092,70.23,74,97,1.95,TL,2021-11-28 05:39:38,overcast clouds,Juvinal Martin
132,132,Mar Del Plata,-38.0023,-57.5575,62.62,94,0,11.5,AR,2021-11-28 05:39:40,clear sky,Gran Hotel Mar del Plata
133,133,Pochutla,15.7432,-96.4661,73.13,71,70,3.78,MX,2021-11-28 05:39:40,broken clouds,Hotel Posada San Jose
134,134,Cape Town,-33.9258,18.4232,63.01,100,90,11.5,ZA,2021-11-28 05:37:58,light rain,Southern Sun Waterfront Cape Town
135,135,Hobart,-42.8794,147.3294,64.26,63,20,18.41,AU,2021-11-28 05:37:49,few clouds,Mantra on Collins Hobart
140,140,Kiunga,-6.1219,141.2906,88.27,62,56,3.98,PG,2021-11-28 05:40:42,broken clouds,Airport Lodge Kiunga
142,142,Bowen,-20.0167,148.2333,82.62,69,38,11.7,AU,2021-11-28 05:40:43,scattered clouds,Castle Motor Lodge Motel
143,143,Labrea,-7.2586,-64.7981,72.9,99,100,2.95,BR,2021-11-28 05:40:43,overcast clouds,Hotel Novo Horizonte
144,144,Novo Aripuana,-5.1206,-60.3797,73.92,97,100,1.95,BR,2021-11-28 05:40:44,overcast clouds,Hotel Ezequiel
145,145,Ixtapa,20.7,-105.2,71.37,82,92,2.75,MX,2021-11-28 05:40:44,overcast clouds,Hotel Plaza Providencia
147,147,Patea,-39.7583,174.4833,63.37,77,100,7.87,NZ,2021-11-28 05:40:45,overcast clouds,Patea Rest N Fresh
148,148,Krabi,8.0726,98.9105,82.51,89,75,5.75,TH,2021-11-28 05:40:45,light rain,Tharapark View Hotel
151,151,Arraial Do Cabo,-22.9661,-42.0278,72.59,86,21,5.32,BR,2021-11-28 05:37:47,few clouds,Pousada Porto Praia
153,153,Makakilo City,21.3469,-158.0858,77.32,63,90,5.75,US,2021-11-28 05:40:47,overcast clouds,Marriott's Ko Olina Beach Club
154,154,Balod,20.73,81.2047,77.95,34,84,8.9,IN,2021-11-28 05:40:47,broken clouds,CJM Bunglow
155,155,Codrington,-38.2667,141.9667,63.05,63,0,14.65,AU,2021-11-28 05:40:47,clear sky,Codrington Gardens Bed And Breakfast
157,157,Bahia Honda,22.9036,-83.1592,70.68,82,28,3.83,CU,2021-11-28 05:40:48,scattered clouds,Casa Gualberto - Deysi
158,158,San Cristobal,7.7669,-72.225,68.18,89,25,1.14,VE,2021-11-28 05:38:23,scattered clouds,Posada Villaven C.A.
159,159,Kapaa,22.0752,-159.319,75.18,73,1,8.05,US,2021-11-28 05:40:49,clear sky,Sheraton Kauai Coconut Beach Resort
162,162,Chenghai,23.4632,116.768,78.71,47,20,4.47,CN,2021-11-28 05:40:50,few clouds,Guangdong Hotel
163,163,Alyangula,-13.8483,136.4192,82.27,74,90,10.36,AU,2021-11-28 05:40:50,overcast clouds,Groote Eylandt Lodge
164,164,Cockburn Town,21.4612,-71.1419,77.72,72,43,10.6,TC,2021-11-28 05:40:51,scattered clouds,Osprey Beach Hotel
165,165,Serik,36.9169,31.0989,68.25,82,89,15.57,TR,2021-11-28 05:40:51,overcast clouds,Armas Belek - Ultra All Inclusive
168,168,Lake Havasu City,34.4839,-114.3224,62.6,14,1,0.0,US,2021-11-28 05:40:52,clear sky,Heat Hotel
174,174,Chuy,-33.6971,-53.4616,66.92,88,100,5.5,UY,2021-11-28 05:40:54,overcast clouds,Nuevo Hotel Plaza
179,179,Buala,-8.145,159.5921,84.15,72,77,4.74,SB,2021-11-28 05:40:56,light rain,Maringe Lagoon Lodge
182,182,Pitimbu,-7.4706,-34.8086,75.79,69,82,7.76,BR,2021-11-28 05:41:57,broken clouds,Reserva do Abiaí
183,183,Ugoofaaru,5.6667,73.0,80.58,80,100,12.97,MV,2021-11-28 05:41:58,moderate rain,Ungoofaaru Inn
186,186,Takoradi,4.8845,-1.7554,78.49,82,67,5.46,GH,2021-11-28 05:41:58,broken clouds,Raybow International Hotel
188,188,Hermiston,45.8404,-119.2895,68.02,100,90,3.44,US,2021-11-28 05:41:59,overcast clouds,Oxford Suites Hermiston
189,189,Ouesso,1.6136,16.0517,74.12,72,93,1.03,CG,2021-11-28 05:42:00,overcast clouds,ABENIE Hotel
191,191,Saint-Joseph,-21.3667,55.6167,82.76,84,96,3.53,RE,2021-11-28 05:42:01,light rain,"""Plantation Bed and Breakfast"
192,192,Varkkallai,8.7341,76.7067,83.98,86,100,4.92,IN,2021-11-28 05:42:01,overcast clouds,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
193,193,Mainpuri,27.2333,79.0167,75.52,34,1,4.25,IN,2021-11-28 05:42:01,clear sky,HOTEL PALM LUXURY INN
195,195,Hambantota,6.1241,81.1185,82.74,94,40,5.75,LK,2021-11-28 05:42:02,light rain,Bungalow 63
196,196,Antofagasta,-23.65,-70.4,60.08,78,39,3.91,CL,2021-11-28 05:37:30,scattered clouds,"Holiday Inn Express Antofagasta, an IHG Hotel"
199,199,Mercedes,-34.6515,-59.4307,61.39,93,100,7.27,AR,2021-11-28 05:42:03,light rain,Posada del Inti Centro
200,200,Pandan,14.0453,124.1694,79.84,88,100,12.5,PH,2021-11-28 05:42:04,overcast clouds,Bonifacio Lodge
201,201,Kitgum,3.2783,32.8867,78.13,57,75,7.16,UG,2021-11-28 05:42:04,broken clouds,Jaflo Gardens Hotel
202,202,Iranshahr,27.2025,60.6848,70.14,24,0,6.91,IR,2021-11-28 05:42:04,clear sky,نیک سرشت
207,207,Placido De Castro,-10.3353,-67.1856,71.29,98,91,2.71,BR,2021-11-28 05:42:06,overcast clouds,Hotel Carioca
209,209,Bambous Virieux,-20.3428,57.7575,84.45,58,20,10.36,MU,2021-11-28 05:42:07,few clouds,Casa Tia Villa
210,210,Nacala,-14.5428,40.6728,82.35,49,91,11.36,MZ,2021-11-28 05:42:07,overcast clouds,Nacala Plaza Business Design Hotel
212,212,Grand-Lahou,5.1367,-5.0242,78.67,85,19,6.49,CI,2021-11-28 05:42:08,few clouds,Hotel Beatitude de Grand Lahou
213,213,Olinda,-8.0089,-34.8553,80.33,78,40,3.44,BR,2021-11-28 05:42:09,scattered clouds,Hotel Albergue de Olinda
215,215,Saint-Pierre,-21.3393,55.4781,83.84,88,90,13.8,RE,2021-11-28 05:42:10,mist,Lindsey Hôtel
216,216,Victoria,22.2855,114.1577,76.96,50,80,4.72,HK,2021-11-28 05:42:10,broken clouds,Mini Hotel Central
217,217,Teluknaga,-6.0989,106.6381,89.78,66,40,16.11,ID,2021-11-28 05:42:10,scattered clouds,Bale Ocasa hotel
218,218,Jingdezhen,29.2947,117.2079,67.08,55,52,2.42,CN,2021-11-28 05:42:11,broken clouds,Garden Hotel
219,219,Myanaung,18.2833,95.3167,83.64,62,0,9.78,MM,2021-11-28 05:42:11,clear sky,Taung Hlay Khar
220,220,Grenville,12.1167,-61.6167,80.65,81,45,13.38,GD,2021-11-28 05:42:12,scattered clouds,Valley Breeze Guest House
221,221,San Andres,12.5847,-81.7006,80.62,83,75,12.66,CO,2021-11-28 05:42:12,broken clouds,Hotel Arena Blanca
222,222,Tautira,-17.7333,-149.15,80.62,80,43,17.16,PF,2021-11-28 05:42:12,light rain,Pension Oaoa
223,223,Saldanha,-33.0117,17.9442,62.65,91,90,11.32,ZA,2021-11-28 05:42:13,overcast clouds,Blue Bay Lodge
224,224,Padang,-0.9492,100.3543,85.69,62,98,6.24,ID,2021-11-28 05:42:13,overcast clouds,Mercure Padang
226,226,Pombas,17.1503,-25.0201,73.18,80,100,18.3,CV,2021-11-28 05:42:14,overcast clouds,Paul Paradis
229,229,Betioky,-23.7167,44.3833,75.51,39,0,11.34,MG,2021-11-28 05:43:15,clear sky,Bungalows Acacias Hotel
230,230,Dicabisagan,17.0818,122.4157,78.4,89,99,6.24,PH,2021-11-28 05:43:15,overcast clouds,Nancy Montanes Bernardo
232,232,Cabo San Lucas,22.8909,-109.9124,72.7,77,100,8.81,MX,2021-11-28 05:41:44,overcast clouds,Hotel Tesoro Los Cabos
235,235,San Quintin,30.4833,-115.95,60.82,68,0,2.66,MX,2021-11-28 05:43:17,clear sky,Don Eddie's Sport Fishing Center
