,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Hotel Name
409,409,Riyadh,24.6877,46.7219,66.25,32,0,5.75,SA,2021-11-28 05:44:09,clear sky,"InterContinental Riyadh, an IHG Hotel"
410,410,Hun,29.1268,15.9477,71.46,28,100,12.41,LY,2021-11-28 05:47:18,overcast clouds,Alrwasi Hotel
416,416,Khanpur,28.6453,70.6567,79.38,15,0,9.4,PK,2021-11-28 05:44:32,clear sky,Ahmad bartan store
417,417,Aden,12.7794,45.0367,82.27,59,0,9.22,YE,2021-11-28 05:48:20,clear sky,Sama Emirate Hotel
418,418,Matara,5.9485,80.5353,83.12,72,100,5.12,LK,2021-11-28 05:48:21,overcast clouds,Amaloh Boutique Resort
419,419,Vangaindrano,-23.35,47.6,72.5,55,87,8.21,MG,2021-11-28 05:48:21,overcast clouds,Hotel Fanilo
424,424,Batemans Bay,-35.7167,150.1833,61.79,64,92,7.18,AU,2021-11-28 05:48:23,overcast clouds,Batemans Bay Marina Resort
427,427,Mount Gambier,-37.8333,140.7667,75.11,46,1,14.97,AU,2021-11-28 05:48:24,clear sky,The Commodore
429,429,San Felipe,10.3399,-68.7425,72.75,98,83,2.08,VE,2021-11-28 05:48:25,broken clouds,Posada Llovizna Rodríguez
430,430,Eldorado,-23.7869,-54.2836,65.97,76,0,2.8,BR,2021-11-28 05:48:25,clear sky,Villa Verde Hotel
431,431,Saint-Leu,-21.15,55.2833,83.23,75,89,5.99,RE,2021-11-28 05:48:25,light rain,La Caz Oceane
432,432,Coahuayana,18.7333,-103.6833,71.73,88,5,3.89,MX,2021-11-28 05:48:26,clear sky,El rranchito michuacan de ocampos
434,434,Swellendam,-34.0226,20.4417,66.81,71,54,6.78,ZA,2021-11-28 05:48:26,broken clouds,De Kloof Luxury Estate boutique Hotel & SPA
437,437,Kavieng,-2.5744,150.7967,84.81,65,39,3.04,PG,2021-11-28 05:48:28,scattered clouds,Nusa Island Retreat
438,438,Port Macquarie,-31.4333,152.9167,66.16,73,100,10.42,AU,2021-11-28 05:48:28,overcast clouds,Rydges Port Macquarie
440,440,Barahona,18.2085,-71.1008,75.15,82,19,2.42,DO,2021-11-28 05:48:29,few clouds,Hotel Caribe
443,443,Navirai,-23.065,-54.1906,66.49,68,0,3.6,BR,2021-11-28 05:48:30,clear sky,Dubai Hotel - Também sua casa!
444,444,Naze,28.3667,129.4833,65.32,62,41,20.51,JP,2021-11-28 05:48:31,scattered clouds,Shishime Hotel
445,445,Poum,-20.2333,164.0167,80.02,76,13,6.62,NC,2021-11-28 05:48:31,few clouds,Gîte kajeon
455,455,Villanueva,15.3167,-88.0,68.99,88,20,4.61,HN,2021-11-28 05:49:34,few clouds,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
459,459,Qui Nhon,13.7667,109.2333,77.29,93,100,13.58,VN,2021-11-28 05:49:36,moderate rain,Hoang Yen Canary Hotel
460,460,Tecoanapa,16.5167,-98.75,75.15,84,34,4.81,MX,2021-11-28 05:49:36,scattered clouds,Hotel Manglares
461,461,Acapulco,16.8634,-99.8901,76.87,79,14,3.49,MX,2021-11-28 05:49:37,few clouds,HS Hotsson Smart Acapulco
462,462,Bairiki,1.3292,172.9752,86.0,66,20,12.66,KI,2021-11-28 05:49:37,few clouds,Tarawa Boutique Hotel
464,464,Port-Gentil,-0.7193,8.7815,76.96,94,40,2.3,GA,2021-11-28 05:49:38,scattered clouds,Fengshui Residence
465,465,Tocopilla,-22.092,-70.1979,63.63,74,37,4.72,CL,2021-11-28 05:49:38,scattered clouds,Hotel Galvarino
466,466,Yabelo,4.8833,38.0833,66.92,59,86,19.1,ET,2021-11-28 05:49:39,overcast clouds,Asnakech W/michael
468,468,Sayhat,26.4852,50.0405,75.18,41,0,16.98,SA,2021-11-28 05:49:39,clear sky,OYO 426 Royal Al Khaleej Furnished Apartments
469,469,Najran,17.4924,44.1277,65.05,33,1,5.28,SA,2021-11-28 05:49:40,clear sky,محمد هادي ال فطيح
470,470,Broken Hill,-31.95,141.4333,74.91,31,90,16.11,AU,2021-11-28 05:49:40,overcast clouds,Royal Exchange Hotel
472,472,Meulaboh,4.1363,96.1285,77.83,91,100,15.1,ID,2021-11-28 05:49:40,overcast clouds,Kost Pria
473,473,Saint-Georges,12.0564,-61.7485,80.28,83,20,2.3,GD,2021-11-28 05:48:27,few clouds,Radisson Grenada Beach Resort
474,474,Maraba,-5.3686,-49.1178,77.18,100,20,0.0,BR,2021-11-28 05:49:41,few clouds,Hotel Del Principe
475,475,Touros,-5.1989,-35.4608,79.7,73,95,10.42,BR,2021-11-28 05:49:42,overcast clouds,INN NEW HORIZON
477,477,Adzope,6.1069,-3.8619,72.19,98,54,1.66,CI,2021-11-28 05:49:42,broken clouds,Hôtel AKL
478,478,Namibe,-15.1961,12.1522,68.52,74,60,2.15,AO,2021-11-28 05:49:43,broken clouds,Hotel Chik Chik Namibe
479,479,Yala,6.3333,101.25,83.55,96,100,1.81,TH,2021-11-28 05:49:43,moderate rain,งานแต่ง Murnee - Wahid
480,480,Port Lincoln,-34.7333,135.8667,68.56,55,2,11.1,AU,2021-11-28 05:49:43,clear sky,Port Lincoln Hotel
482,482,Betong,5.7743,101.0723,76.75,95,100,1.97,TH,2021-11-28 05:49:44,light rain,New Cathay Hotel
483,483,Maceio,-9.6658,-35.7353,78.24,88,20,4.61,BR,2021-11-28 05:49:44,moderate rain,Poutur Pousada
484,484,George,-33.963,22.4617,67.55,64,20,6.91,ZA,2021-11-28 05:49:45,few clouds,Protea Hotel by Marriott George King George
485,485,Warora,20.2333,79.0,79.88,32,54,10.27,IN,2021-11-28 05:49:45,broken clouds,Datta mandir ward
486,486,Natal,-5.795,-35.2094,79.45,89,40,3.44,BR,2021-11-28 05:49:46,scattered clouds,Villa Park Hotel | Natal
489,489,Lubao,14.9167,120.55,89.67,93,100,12.03,PH,2021-11-28 05:49:47,overcast clouds,Hacienda Gracia
491,491,Cartagena,10.3997,-75.5144,78.42,94,0,3.44,CO,2021-11-28 05:49:47,clear sky,Hotel Colombia Real - Cartagena
492,492,Awbari,26.5921,12.7805,69.48,26,100,14.97,LY,2021-11-28 05:49:48,overcast clouds,فندق أوباري
497,497,Luwuk,-0.9516,122.7875,81.73,84,91,2.91,ID,2021-11-28 05:49:49,overcast clouds,Hotel Santika Luwuk
504,504,Pisco,-13.7,-76.2167,62.65,88,0,0.0,PE,2021-11-28 05:50:52,clear sky,Hotel San Isidro Oficial
505,505,Whyalla,-33.0333,137.5833,80.49,24,0,11.5,AU,2021-11-28 05:50:52,clear sky,Foreshore Motor Inn
507,507,Bhabua,25.05,83.6167,77.34,36,37,5.28,IN,2021-11-28 05:50:53,scattered clouds,Kohinoor Hotel
511,511,Ahipara,-35.1667,173.1667,65.7,75,95,4.21,NZ,2021-11-28 05:50:54,overcast clouds,Ahipara Holiday Park
513,513,Vilhena,-12.7406,-60.1458,68.54,99,100,3.47,BR,2021-11-28 05:50:55,overcast clouds,Hotel Mirage
514,514,Chokwe,-24.5333,32.9833,74.88,48,9,8.32,MZ,2021-11-28 05:50:55,clear sky,Complexo Sonho Real
516,516,Mozarlandia,-14.7447,-50.5706,73.65,89,87,5.37,BR,2021-11-28 05:50:56,overcast clouds,Hotel Santa Mônica
517,517,Sao Joao Da Barra,-21.6403,-41.0511,71.46,87,50,6.82,BR,2021-11-28 05:47:49,scattered clouds,Pousada Porto De Canoas
522,522,Asosa,10.0667,34.5333,76.86,39,65,1.1,ET,2021-11-28 05:50:58,broken clouds,Blendana Hotel Assosa
524,524,Dhidhdhoo,6.8833,73.1,80.96,76,100,7.25,MV,2021-11-28 05:50:59,overcast clouds,Dhidhoo beach
525,525,Hit,33.6416,42.8251,65.05,39,74,4.27,IQ,2021-11-28 05:50:59,broken clouds,صالون زيرو
526,526,Malacacheta,-17.8422,-42.0767,61.97,98,84,3.44,BR,2021-11-28 05:50:59,broken clouds,Pousada Varanda do Sol
531,531,Surt,31.2089,16.5887,72.41,45,100,11.77,LY,2021-11-28 05:51:01,overcast clouds,الهادي ابوشعاله سرت
532,532,Mandali,33.7499,45.5541,67.21,36,100,12.73,IQ,2021-11-28 05:51:01,overcast clouds,قرئ الشيخ سحاب الندا
533,533,Bayir,37.2687,28.2167,63.12,89,63,7.92,TR,2021-11-28 05:51:02,broken clouds,Hotel Babadag
537,537,Naranjal,-2.6667,-79.6167,73.2,90,93,2.46,EC,2021-11-28 05:51:03,overcast clouds,Media Naranja
538,538,Wanning,18.8003,110.3967,74.19,82,100,17.74,CN,2021-11-28 05:51:04,overcast clouds,Paradise Hotel
540,540,San Ignacio,17.1561,-89.0714,67.08,98,19,1.34,BZ,2021-11-28 05:51:04,few clouds,Rainforest Haven Inn
542,542,Mahibadhoo,3.7833,72.9667,81.79,72,97,17.67,MV,2021-11-28 05:51:05,overcast clouds,Omadhoo Inn
543,543,Bulawayo,-20.15,28.5833,69.46,50,9,8.77,ZW,2021-11-28 05:51:05,clear sky,4 On Housman Backpackers
546,546,Ratangarh,28.0833,74.6,76.35,28,9,3.89,IN,2021-11-28 05:52:06,clear sky,Hotel Shri Laxmi Palace
547,547,Uthal,25.8072,66.6219,83.07,13,1,4.14,PK,2021-11-28 05:52:07,clear sky,Al-Mustafa Hotel
548,548,Mae Sai,20.4335,99.8762,76.32,51,32,2.17,TH,2021-11-28 05:52:07,scattered clouds,Piyaporn Hill Paradise Hotel
551,551,Begoro,6.3871,-0.3774,70.27,94,81,1.74,GH,2021-11-28 05:52:08,light rain,Sweet Memories Hotel
554,554,Les Cayes,18.2,-73.75,73.38,83,59,6.67,HT,2021-11-28 05:52:09,broken clouds,Villa Orphee
557,557,Parkes,-33.1333,148.1833,65.77,67,96,7.4,AU,2021-11-28 05:52:10,overcast clouds,Station Motel
559,559,Marsabit,2.3284,37.9899,67.77,75,87,9.35,KE,2021-11-28 05:52:10,light rain,Chicho Hotel
563,563,Ilo,-17.6394,-71.3375,64.22,85,99,7.34,PE,2021-11-28 05:52:12,overcast clouds,Torreblanca Hotel
565,565,Tabou,4.423,-7.3528,78.4,86,16,6.73,CI,2021-11-28 05:52:12,light rain,hotêl doufoulougou
567,567,Puerto Escondido,15.85,-97.0667,77.05,63,67,4.85,MX,2021-11-28 05:52:13,broken clouds,Aldea del Bazar Hotel and Spa
568,568,Marawi,7.9986,124.2928,77.79,81,100,5.68,PH,2021-11-28 05:52:13,overcast clouds,Derogongan Residence
570,570,Iquique,-20.2208,-70.1431,64.44,79,83,3.67,CL,2021-11-28 05:49:23,broken clouds,Backpacker`s Hostel Iquique
572,572,Huarmey,-10.0681,-78.1522,66.15,87,98,9.84,PE,2021-11-28 05:52:14,overcast clouds,Hotel Miramar
574,574,Gladstone,-23.85,151.25,80.53,78,75,18.41,AU,2021-11-28 05:52:15,broken clouds,Highpoint International
575,575,Saint Thomas,13.1833,-59.5833,78.12,78,40,13.8,BB,2021-11-28 05:52:15,scattered clouds,Jefferson's House
578,578,Mormugao,15.4,73.8,83.46,51,40,9.22,IN,2021-11-28 05:52:17,scattered clouds,Coconut Creek Resort
579,579,Kloulklubed,7.0419,134.2556,82.9,76,100,12.71,PW,2021-11-28 05:52:17,overcast clouds,Storyboard Beach Resort
580,580,Centralina,-18.5839,-49.1994,70.27,92,5,4.52,BR,2021-11-28 05:52:17,clear sky,MM Plaza Hotel
581,581,Tura,25.5198,90.2201,76.39,42,48,2.57,IN,2021-11-28 05:52:18,scattered clouds,Hotel RIKMAN Continental
582,582,Bang Saphan,11.2126,99.5117,87.75,61,50,13.06,TH,2021-11-28 05:52:18,scattered clouds,Ladawan Boutique Hotel
583,583,Tabuleiro Do Norte,-5.2467,-38.1306,75.49,89,61,6.35,BR,2021-11-28 05:52:18,broken clouds,Hotel Central I
584,584,Sabha,27.0377,14.4283,68.99,29,100,14.07,LY,2021-11-28 05:50:52,overcast clouds,Foundation Taaj Asala for Historical Research and Archeology
585,585,Ewa Beach,21.3156,-158.0072,78.75,65,90,5.75,US,2021-11-28 05:52:19,overcast clouds,Uncle Junior Robert
587,587,Neiafu,-18.65,-173.9833,83.08,78,75,9.22,TO,2021-11-28 05:52:19,broken clouds,Mystic Sands Beachfront Accommodation
591,591,Wanaka,-44.7,169.15,67.26,52,20,2.57,NZ,2021-11-28 05:53:21,few clouds,Wanaka Homestead Lodge and Cottages
593,593,Mareeba,-17.0,145.4333,81.32,59,76,7.52,AU,2021-11-28 05:53:21,broken clouds,Trinity Plains Tourist Park
594,594,Santa Fe,-31.6333,-60.7,64.44,94,100,16.33,AR,2021-11-28 05:50:11,light rain,Conquistador Hotel
596,596,Morant Bay,17.8815,-76.4093,78.42,76,97,9.62,JM,2021-11-28 05:53:22,overcast clouds,Whispering Bamboo Cove Resort
598,598,Alagoinhas,-12.1356,-38.4192,72.75,97,92,6.15,BR,2021-11-28 05:53:23,moderate rain,Alagoinhas Plaza Hotel
599,599,Mendi,-6.1761,143.6513,62.1,95,91,2.71,PG,2021-11-28 05:53:23,moderate rain,Kiburu Lodge
601,601,Vanimo,-2.6741,141.3028,85.96,63,87,5.46,PG,2021-11-28 05:53:24,overcast clouds,Vahmoneh Lodge Vanimo
602,602,Pathein,16.7833,94.7333,84.7,65,5,10.13,MM,2021-11-28 05:53:24,clear sky,New Pammawaddy Hotel
607,607,Itoman,26.1247,127.6694,71.98,53,75,17.27,JP,2021-11-28 05:53:26,broken clouds,Southern Beach Hotel & Resort Okinawa
615,615,San Rafael Del Sur,11.8485,-86.4384,76.08,77,63,13.67,NI,2021-11-28 05:53:28,broken clouds,Hospedaje El Chino
617,617,Sao Pedro,-22.5486,-47.9139,68.11,58,2,3.65,BR,2021-11-28 05:53:29,clear sky,Hotel Fazenda Samambaia
621,621,Nsanje,-16.92,35.262,77.07,56,2,4.41,MW,2021-11-28 05:53:30,clear sky,Nsanje Discovery Lodge
623,623,Kabompo,-13.5927,24.2008,72.72,66,71,8.19,ZM,2021-11-28 05:53:31,broken clouds,Big Tree
624,624,Beira,-19.8436,34.8389,77.09,69,20,3.44,MZ,2021-11-28 05:49:46,few clouds,Beira Terrace Hotel
625,625,Acajutla,13.5928,-89.8275,76.57,67,12,7.87,SV,2021-11-28 05:53:32,few clouds,asi es
626,626,Guerrero Negro,27.9769,-114.0611,65.07,72,0,6.22,MX,2021-11-28 05:51:03,clear sky,"Casa Laguna, Bed & Breakfast"
627,627,Huambo,-12.7761,15.7392,60.82,95,100,6.96,AO,2021-11-28 05:53:32,overcast clouds,SiSHotel
630,630,Tokoroa,-38.2333,175.8667,66.81,56,100,5.32,NZ,2021-11-28 05:53:33,overcast clouds,Tokoroa Apartments
635,635,Abu Kamal,34.4506,40.9171,63.63,46,86,6.64,SY,2021-11-28 05:54:35,overcast clouds,محطة التلفاز
636,636,Yanam,16.7333,82.2167,81.0,70,100,13.29,IN,2021-11-28 05:54:35,moderate rain,The Regency Hotel
639,639,Toba Tek Singh,30.9743,72.4827,75.9,18,1,4.7,PK,2021-11-28 05:54:36,clear sky,Haji Muhammad Ashraf(x Consular)
642,642,Banda Aceh,5.5577,95.3222,79.68,81,100,6.67,ID,2021-11-28 05:49:49,heavy intensity rain,Sulthan Hotel International
643,643,Melito Di Porto Salvo,37.9222,15.7714,60.69,67,75,10.36,IT,2021-11-28 05:54:37,light rain,B&B Nereidi
644,644,Kieta,-6.2167,155.6333,83.01,75,98,5.01,PG,2021-11-28 05:54:38,overcast clouds,Uruna Bay Retreat
645,645,Okato,-39.2,173.8833,62.46,75,100,4.54,NZ,2021-11-28 05:54:38,overcast clouds,Goodin Country Garden
649,649,Nata,8.3333,-80.5167,74.26,86,86,5.37,PA,2021-11-28 05:54:40,overcast clouds,Rey David
652,652,Luena,-11.7833,19.9167,66.15,90,100,0.63,AO,2021-11-28 05:54:41,overcast clouds,Hotel Kandamba
653,653,Medina,24.4686,39.6142,68.43,30,0,9.22,SA,2021-11-28 05:54:29,clear sky,Anwar Al Madinah Mövenpick Hotel
655,655,Pedasi,7.5333,-80.0333,78.24,82,30,14.45,PA,2021-11-28 05:54:42,scattered clouds,Selina Pedasi
657,657,Loandjili,-4.7561,11.8578,73.51,94,20,3.44,CG,2021-11-28 05:54:42,few clouds,Résidence ARCHANGE
658,658,Sibolga,1.7427,98.7792,78.39,88,98,1.43,ID,2021-11-28 05:54:42,overcast clouds,Hotel Syariah CN Darussalam
659,659,Tonj,7.2737,28.6822,85.23,29,69,2.59,SS,2021-11-28 05:54:43,broken clouds,Lakan Hotel
660,660,Caravelas,-17.7125,-39.2481,70.77,97,100,4.43,BR,2021-11-28 05:54:43,overcast clouds,Pousada dos Navegantes
662,662,Auki,-8.7676,160.7034,83.07,78,94,4.09,SB,2021-11-28 05:54:44,light rain,Auki Motel
663,663,Nosy Varika,-20.5833,48.5333,68.59,88,100,10.47,MG,2021-11-28 05:54:44,overcast clouds,Hotel Volazara
665,665,Cairns,-16.9167,145.7667,85.95,66,40,11.5,AU,2021-11-28 05:51:00,scattered clouds,Mantra Trilogy Cairns
667,667,Bairnsdale,-37.8333,147.6167,63.66,61,2,10.49,AU,2021-11-28 05:54:45,clear sky,Town Central Motel
668,668,Sinnamary,5.3833,-52.95,77.02,88,90,8.77,GF,2021-11-28 05:54:46,overcast clouds,ALETHEIA Appartement Sinnamary
671,671,Lilongwe,-13.9669,33.7873,66.4,82,0,6.91,MW,2021-11-28 05:51:48,clear sky,Spendwise furnished apartments.
672,672,Freetown,8.484,-13.2299,79.47,84,76,3.76,SL,2021-11-28 05:54:47,broken clouds,The Country Lodge Hotel
675,675,Samana,19.2056,-69.3369,74.14,79,3,5.73,DO,2021-11-28 05:54:48,clear sky,The Bannister - Hotel & Yacht Club
678,678,Esmeraldas,-19.7625,-44.3139,68.31,97,59,4.63,BR,2021-11-28 05:55:49,broken clouds,Bom Será - Marcinho e Fernanda
679,679,Parintins,-2.6283,-56.7358,74.32,94,100,0.25,BR,2021-11-28 05:55:49,overcast clouds,Cama e Cafe
680,680,Maravilla,10.9011,123.8918,87.89,71,100,8.14,PH,2021-11-28 05:55:49,overcast clouds,Maravilla Beach Club (No Day Use/No Tents/No Cottage)
681,681,Kindu,-2.95,25.95,69.67,98,100,1.1,CD,2021-11-28 05:55:50,light rain,Résidence Okanda
683,683,Zambezi,-13.5432,23.1047,70.79,76,68,7.87,ZM,2021-11-28 05:55:50,broken clouds,Royal Kutachika Lodge
690,690,Amnat Charoen,15.9167,104.75,80.71,56,50,21.94,TH,2021-11-28 05:55:53,scattered clouds,หอพักนักศึกษา
691,691,Aloleng,16.1307,119.7824,84.72,62,89,18.07,PH,2021-11-28 05:55:53,overcast clouds,Steve Walden and Emma Sison-Walden Residence
693,693,Rumphi,-11.0186,33.8575,75.27,59,68,6.89,MW,2021-11-28 05:55:54,broken clouds,Finst Rumphi Earthbag House Lodge
694,694,Quirinopolis,-18.4483,-50.4517,71.83,82,16,1.9,BR,2021-11-28 05:55:54,few clouds,Rota Hotéis - Quirinópolis GO
695,695,Port Pirie,-33.1833,138.0167,80.69,34,0,13.71,AU,2021-11-28 05:55:54,clear sky,John Pirie Motor Inn
